No,Title,BodyPart
513,Holman Seated Killer Abs,Abdominals
514,Holman Side Plank Hip Drop,Abdominals
515,Holman Wide Hill Climber,Abdominals
516,Holman Straight-Legged Bicycle,Abdominals
517,Holman Stair Toe Tap,Abdominals
518,Holman Elbow Plank Ninja,Abdominals
519,Holman Traveling Stair Climb Push-Up,Abdominals
520,Holman Hands-Elevated Burpee,Abdominals
521,Holman Straight Plank Donkey Kick,Abdominals
522,Holman Feet-Elevated Straight Plank Pike Pull,Abdominals
523,Holman Towel Burpee,Abdominals
524,Holman Elbow Plank to Alternating Side Plank Crunch,Abdominals
525,Holman Straight-Legged Hip Raise,Abdominals
526,Holman Feet-Elevated Hill Climber,Abdominals
527,Holman Ninja Knee Hill Climber,Abdominals
528,Holman Feet-Elevated Shoulder Tap,Abdominals
529,Holman Feet-Elevated Hip Raise,Abdominals
530,Holman Left Hand Right Foot Crab Reach,Abdominals
531,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Abdominals
532,Holman Right Hand Left Foot Sleeping Crab,Abdominals
533,Holman Left Hand Right Foot Sleeping Crab,Abdominals
534,Holman Straight Plank with Alternating Leg Kick-Under,Abdominals
535,Holman Right Hip Drop Push-Up,Abdominals
536,Holman Right Side Diagonal Burpee,Abdominals
537,Holman Left Hip Drop Push-Up,Abdominals
538,Holman Right Leg 7-Up Crunch,Abdominals
539,Holman Left Leg 7-Up Crunch,Abdominals
540,Holman Straight Plank Jack,Abdominals
541,Holman Feet-Elevated Couch Hill Climber,Abdominals
542,Holman Feet-Elevated Right Side Plank,Abdominals
543,Holman Alternating Up-Down Plank to Push-Up,Abdominals
544,Holman Straight Plank Pike,Abdominals
545,Holman Ninja Knee Straight Plank,Abdominals
546,Holman Reverse Crunch to Hip Raise,Abdominals
547,Holman Straight Plank Quick Reach,Abdominals
548,Holman Alternating Diagonal Straight Plank,Abdominals
549,Holman Feet-Elevated Left Side Plank,Abdominals
550,Holman Right Hand Left Foot Crab Reach,Abdominals
551,Holman Low-Impact Crab Kick,Abdominals
552,Holman Alternating Crab Flip to Froggy Push-Up,Abdominals
553,Holman High-Impact Crab Kick,Abdominals
554,Holman Single-Leg Right Pike,Abdominals
555,Holman Single-Leg Left Pike,Abdominals
556,Holman Shoulder Tap to Hand Tap,Abdominals
557,Holman Towel Reverse Plank Jack,Abdominals
558,Holman Side-to-Side Twist,Abdominals
559,Holman Crab Kick with Hop,Abdominals
560,Holman Crab Reach to Crab Kick,Abdominals
561,Holman Wide Squat Side-to-Side Obliques,Abdominals
562,Holman Side Plank Crunch,Abdominals
563,Total Fitness Ab Tuck,Abdominals
564,Active hang from bar,Abdominals
565,Cat-cow,Abdominals
566,Crab walk,Abdominals
567,Lunge with overhead reach,Abdominals
568,Hang from bar,Abdominals
569,Total Fitness Hollow Hold,Abdominals
570,Total Fitness Side Plank,Abdominals
571,Side plank pulse,Abdominals
572,Total Fitness Spider Crawl (Unweighted),Abdominals
573,Total Fitness V-Up,Abdominals
574,MetaBurn Alternating Knee-to-Elbow Mountain Climber,Abdominals
575,Alternating sit-through with crunch-,Abdominals
576,MetaBurn Alternating Toe-Touch,Abdominals
577,MetaBurn Janda Sit-Up,Abdominals
578,MetaBurn Oblique Roll Crunch,Abdominals
579,MetaBurn Plank Jack,Abdominals
580,MetaBurn Plank To Alternating Side Plank,Abdominals
581,MetaBurn Plank Up-Down,Abdominals
582,MetaBurn Plank Wiper,Abdominals
583,MetaBurn Plank With Alternating Toe-Touch,Abdominals
584,MetaBurn Plyo Push-Up,Abdominals
